                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.2799,                0.90955,                 1.5061,                0.98576,                      1,                  0.995,                0.77623,                 1.0265,                0.72959,                 1.0719,               0.002179,               0.002179,               0.002179
                     81,                 1.2533,                0.93105,                  1.399,                0.98661,                      1,                  0.995,                0.76126,                0.92562,                0.68818,                   1.03,                0.00208,                0.00208,                0.00208
                     82,                 1.1371,                0.83721,                  1.295,                0.98608,                      1,                  0.995,                0.70546,                 1.1264,                0.68595,                 1.1057,               0.001981,               0.001981,               0.001981
                     83,                 1.2952,                0.92732,                 1.4729,                0.98854,                      1,                  0.995,                0.68169,                 1.1377,                0.76447,                 1.1186,               0.001882,               0.001882,               0.001882
                     84,                 1.1917,                0.91031,                 1.3782,                0.98866,                      1,                  0.995,                0.71158,                 1.1494,                0.71338,                 1.1205,               0.001783,               0.001783,               0.001783
                     85,                 1.3105,                0.92415,                 1.4272,                0.98893,                      1,                  0.995,                0.70647,                  1.145,                0.74173,                 1.1009,               0.001684,               0.001684,               0.001684
                     86,                 1.2418,                0.96343,                 1.4717,                0.98859,                      1,                  0.995,                0.70653,                 1.1987,                0.82266,                 1.1025,               0.001585,               0.001585,               0.001585
                     87,                 1.2281,                0.90832,                 1.4222,                0.98815,                      1,                  0.995,                0.72965,                 1.1305,                0.78493,                 1.0866,               0.001486,               0.001486,               0.001486
                     88,                 1.2126,                0.83287,                 1.4304,                0.98751,                      1,                  0.995,                0.73968,                 1.0133,                0.69205,                 1.0557,               0.001387,               0.001387,               0.001387
                     89,                 1.1832,                0.83166,                 1.3499,                0.98679,                      1,                  0.995,                0.79626,                0.94935,                0.68528,                 1.0349,               0.001288,               0.001288,               0.001288
                     90,                 1.1976,                0.96438,                 1.3294,                0.98474,                      1,                  0.995,                 0.7717,                 1.1422,                0.71854,                 1.0821,               0.001189,               0.001189,               0.001189
                     91,                 1.2577,                0.84215,                 1.4148,                0.98509,                      1,                  0.995,                0.71384,                 1.2665,                0.76129,                 1.1112,                0.00109,                0.00109,                0.00109
                     92,                 1.1403,                0.85495,                 1.3443,                0.98578,                      1,                  0.995,                0.72266,                 1.1908,                0.74119,                 1.0863,               0.000991,               0.000991,               0.000991
                     93,                 1.0992,                0.85265,                 1.3514,                 0.9885,                      1,                  0.995,                0.70028,                 1.1067,                0.73005,                  1.048,               0.000892,               0.000892,               0.000892
                     94,                 1.1794,                0.85525,                 1.3998,                0.98867,                      1,                  0.995,                0.68375,                 1.1753,                0.75394,                 1.0765,               0.000793,               0.000793,               0.000793
                     95,                 1.0669,                0.80009,                 1.2943,                0.98869,                      1,                  0.995,                0.68393,                 1.2024,                0.75259,                 1.0829,               0.000694,               0.000694,               0.000694
                     96,                 1.1993,                0.84106,                 1.4326,                0.98858,                      1,                  0.995,                0.71419,                 1.1537,                0.73409,                 1.0599,               0.000595,               0.000595,               0.000595
                     97,                  1.053,                0.75914,                  1.304,                0.98864,                      1,                  0.995,                0.72223,                 1.0924,                0.69444,                  1.032,               0.000496,               0.000496,               0.000496
                     98,                 1.1119,                0.80069,                 1.3479,                0.98855,                      1,                  0.995,                0.69495,                 1.0647,                 0.6974,                 1.0317,               0.000397,               0.000397,               0.000397
                     99,                 1.1481,                0.83226,                 1.3628,                0.98879,                      1,                  0.995,                0.69522,                 1.0616,                0.69478,                 1.0362,               0.000298,               0.000298,               0.000298
